year_id,year_value,label_zh
YEAR_1644,1644,1644年
YEAR_1689,1689,1689年
YEAR_1787,1787,1787年
YEAR_1835,1835,1835年
YEAR_1841,1841,1841年
YEAR_1851,1851,1851年
YEAR_1874,1874,1874年
YEAR_1889,1889,1889年
YEAR_1892,1892,1892年
YEAR_1894,1894,1894年
YEAR_1895,1895,1895年
YEAR_1896,1896,1896年
YEAR_1897,1897,1897年
YEAR_1898,1898,1898年
YEAR_1902,1902,1902年
YEAR_1903,1903,1903年
YEAR_1904,1904,1904年
YEAR_1906,1906,1906年
YEAR_1909,1909,1909年
YEAR_1912,1912,1912年
YEAR_1915,1915,1915年
YEAR_1918,1918,1918年
YEAR_1919,1919,1919年
YEAR_1921,1921,1921年
YEAR_1922,1922,1922年
YEAR_1923,1923,1923年
YEAR_1926,1926,1926年
YEAR_1927,1927,1927年
YEAR_1928,1928,1928年
YEAR_1930,1930,1930年
YEAR_1931,1931,1931年
YEAR_1932,1932,1932年
YEAR_1934,1934,1934年
YEAR_1936,1936,1936年
YEAR_1937,1937,1937年
YEAR_1940,1940,1940年
YEAR_1941,1941,1941年
YEAR_1944,1944,1944年
YEAR_1946,1946,1946年
YEAR_1947,1947,1947年
YEAR_1948,1948,1948年
YEAR_1949,1949,1949年
YEAR_1950,1950,1950年
YEAR_1953,1953,1953年
YEAR_1955,1955,1955年
YEAR_1957,1957,1957年
YEAR_1958,1958,1958年
YEAR_1959,1959,1959年
YEAR_1960,1960,1960年
YEAR_1962,1962,1962年
YEAR_1963,1963,1963年
YEAR_1964,1964,1964年
YEAR_1966,1966,1966年
YEAR_1968,1968,1968年
YEAR_1969,1969,1969年
YEAR_1970,1970,1970年
YEAR_1971,1971,1971年
YEAR_1972,1972,1972年
YEAR_1973,1973,1973年
YEAR_1974,1974,1974年
YEAR_1975,1975,1975年
YEAR_1976,1976,1976年
YEAR_1977,1977,1977年
YEAR_1980,1980,1980年
YEAR_1982,1982,1982年
YEAR_1985,1985,1985年
YEAR_1988,1988,1988年
YEAR_1989,1989,1989年
YEAR_1990,1990,1990年
YEAR_1992,1992,1992年
YEAR_1995,1995,1995年
YEAR_1996,1996,1996年
YEAR_1998,1998,1998年
YEAR_1999,1999,1999年
